time,logger,level,message,exception
2012-08-14 19:39:14.7922,Raven.Database.Server.HttpServer,Debug,Request #   3: GET     -    38 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-08-14 19:39:47.7980,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-08-14 19:39:47.7980,Raven.Database.Server.HttpServer,Debug,Request #   4: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-08-14 19:39:51.8771,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Temp%2fFoos%2fByBirthDate:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using Raven.Database.Indexing;
public class Index_Temp_2fFoos_2fByBirthDate : AbstractViewGenerator
{
	public Index_Temp_2fFoos_2fByBirthDate()
	{
		this.ViewText = @""from doc in docs.Foos
select new { BirthDate = doc.BirthDate }
"";
		this.ForEntityNames.Add(""Foos"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Foos""
			select new { BirthDate = doc.BirthDate, __document_id = doc.__document_id });
		this.AddField(""BirthDate"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""BirthDate"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""BirthDate"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using Raven.Database.Indexing;
public class Index_Temp_2fFoos_2fByBirthDate : AbstractViewGenerator
{
	public Index_Temp_2fFoos_2fByBirthDate()
	{
		this.ViewText = @""from doc in docs.Foos
select new { BirthDate = doc.BirthDate }
"";
		this.ForEntityNames.Add(""Foos"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Foos""
			select new { BirthDate = doc.BirthDate, __document_id = doc.__document_id });
		this.AddField(""BirthDate"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""BirthDate"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""BirthDate"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-08-14 19:39:51.9553,Raven.Database.Indexing.IndexStorage,Info,Creating index Temp/Foos/ByBirthDate with encoded name Temp/Foos/ByBirthDate,
2012-08-14 19:39:52.4680,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Temp/Foos/ByBirthDate,
2012-08-14 19:39:52.5148,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 1 because: PUT INDEX Temp/Foos/ByBirthDate,
2012-08-14 19:39:52.6203,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2012-08-14 19:39:52.6398,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2012-08-14 19:39:52.7580,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/Foos/ByBirthDate for: BirthDate:19500101000000000,
2012-08-14 19:39:53.0422,Raven.Database.Server.HttpServer,Debug,"Request #   5: GET     - 1,843 ms - <default>  - 200 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name",
